Problem;Number of Iterations;Termination Criterion;Makespan;Time (s);%Gap
ta34;2500;5;2782;275.609375;1.1
ta34;2500;10;2782;263.734375;1.1
ta34;2500;20;2782;255.140625;1.1
ta35;50;5;2930;5.640625;2.3
ta35;50;10;2965;5.140625;3.6
ta35;50;20;2900;4.890625;1.3
ta35;100;5;2891;11.125;1
ta35;100;10;2919;10.84375;2
ta35;100;20;2908;9.828125;1.6
ta35;250;5;2891;27.625;1
ta35;250;10;2891;26.40625;1
ta35;250;20;2886;25.125;0.8
ta35;500;5;2887;55.078125;0.8
ta35;500;10;2886;52.765625;0.8
ta35;500;20;2890;51.046875;0.9
ta35;1000;5;2887;111.34375;0.8
ta35;1000;10;2890;106.09375;0.9
ta35;1000;20;2890;103.109375;0.9
ta35;2500;5;2871;276.65625;0.3
ta35;2500;10;2887;265.4375;0.8
ta35;2500;20;2864;257.265625;0
ta36;50;5;2903;5.4375;2.6
ta36;50;10;2929;5.34375;3.5
ta36;50;20;2929;4.96875;3.5
ta36;100;5;2883;11.125;1.9
ta36;100;10;2865;10.59375;1.3
ta36;100;20;2886;9.9375;2
ta36;250;5;2874;27.734375;1.6
ta36;250;10;2874;26.4375;1.6
ta36;250;20;2874;25.21875;1.6
ta36;500;5;2854;55.21875;0.9
ta36;500;10;2857;52.40625;1
ta36;500;20;2835;50.53125;0.2
ta36;1000;5;2883;110.546875;1.9
ta36;1000;10;2870;105.921875;1.4
ta36;1000;20;2832;101.296875;0.1
ta36;2500;5;2846;276.140625;0.6
ta36;2500;10;2852;263.65625;0.8
ta36;2500;20;2835;255.515625;0.2
ta37;50;5;2840;5.390625;4.2
ta37;50;10;2835;5.0625;4
ta37;50;20;2810;5.25;3.1
ta37;100;5;2858;10.578125;4.9
ta37;100;10;2809;10.515625;3.1
ta37;100;20;2826;10.328125;3.7
ta37;250;5;2798;27.3125;2.7
ta37;250;10;2818;26.3125;3.4
ta37;250;20;2796;25.515625;2.6
ta37;500;5;2789;55.09375;2.3
ta37;500;10;2771;54.25;1.7
ta37;500;20;2761;50.765625;1.3
ta37;1000;5;2782;111.078125;2.1
ta37;1000;10;2758;105.15625;1.2
ta37;1000;20;2741;101.796875;0.6
ta37;2500;5;2795;275.96875;2.6
ta37;2500;10;2746;263.625;0.8
ta37;2500;20;2746;254.3125;0.8
ta38;50;5;2769;5.25;3.2
ta38;50;10;2789;5.40625;4
ta38;50;20;2774;4.921875;3.4
ta38;100;5;2753;11.078125;2.6
ta38;100;10;2724;10.234375;1.5
ta38;100;20;2765;10.09375;3.1
ta38;250;5;2725;27.671875;1.6
ta38;250;10;2756;26.09375;2.7
ta38;250;20;2762;25.46875;2.9
ta38;500;5;2744;55.265625;2.3
ta38;500;10;2738;52.6875;2
ta38;500;20;2730;50.859375;1.8
ta38;1000;5;2742;110.984375;2.2
ta38;1000;10;2717;105.1875;1.3
ta38;1000;20;2730;101.953125;1.8
ta38;2500;5;2719;276.125;1.3
ta38;2500;10;2707;262.15625;0.9
ta38;2500;20;2707;253.921875;0.9
ta39;50;5;2671;5.71875;4.7
ta39;50;10;2645;5.03125;3.6
ta39;50;20;2655;4.78125;4
ta39;100;5;2617;10.953125;2.5
ta39;100;10;2603;10.578125;2
ta39;100;20;2653;9.796875;4
ta39;250;5;2619;27.734375;2.6
ta39;250;10;2589;26.265625;1.4
ta39;250;20;2626;25.15625;2.9
